zip_2,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,pub_rec,revol_bal,revol_util,mort_acc,pub_rec_bankruptcies,credit_history,credit_line_ratio,balance_annual_income,fico_avg_score,installment_amnt_ratio
45,0.4471898168018614,4.560892984487179,1.292341127943302,6.430419542691566,3.6247533284634446,0.5822003801487545,0.49131013895623943,0.8394325750102067,0.4059264403019895,2.161542717617195,8.092607881310913,0.40621037743507576,16277.959802864389,23.844048923514563,1.973594566990474,0.35123604871474523,2535.3927152088063,0.16925321081950886,0.11341873968034892,30.762637604174827,0.004354432180434438
46,0.4487009414791554,4.621224158388705,1.298631925000347,6.463869324161802,3.6007039101400187,0.5610974449916303,0.4934443360923279,0.8339670727471944,0.41412971329825854,2.0299725777233886,8.132586360123984,0.4610883893643701,17147.36906478532,23.223640301430986,1.9916530665419974,0.39164016577877436,2523.059825863941,0.16513417875614286,0.11081403792530427,29.450474179463672,0.004332267282981311
47,0.45676524572172855,4.580088800866732,1.2788628360309258,6.34933474271195,3.617787873704781,0.5511456692204647,0.46912022641818135,0.8349914107028578,0.40442758766593145,2.0686071843021407,8.177599871604407,0.4407028525706514,14320.160880648773,23.187650481593653,2.009842410738379,0.36816787505998455,2486.1522818460303,0.1676649118357471,0.11226686571441008,29.657583170556972,0.004415605840482268
48,0.43281364192256716,4.544841501020037,1.2876952439895257,6.399224574632079,3.627372081262534,0.6320027855479626,0.5083197415658824,0.8343099207358705,0.40455104726329727,2.2627719210506028,8.1413374218845,0.43422443569060104,17784.89987574434,23.639436531870324,1.9534613695383956,0.38323522240389296,2665.962280047889,0.17143527993947422,0.10973400446754801,30.16241222210763,0.004251154801606903
49,0.44009393041053474,4.5554864293045165,1.2959705489114963,6.425082592394576,3.611778630637629,0.5786434035921351,0.5041659544655961,0.8482545360674463,0.38682403548425043,2.16001808259767,8.151934091933278,0.40615719021383595,16014.027880525371,24.23780705469331,1.9622176137264182,0.3503163803855825,2466.4814179068812,0.1632886828811772,0.11264552111256951,30.57927095345827,0.004327828405218402
50,0.3806934938134404,4.905157593237219,1.295896533712069,6.517395896779811,3.6561938711163013,0.5882299658752717,0.498475339615785,0.816496580927726,0.4643056214875365,2.165272684236664,9.777804936899589,0.4643056214875365,7620.283373235263,26.394234864037468,1.7440374613713623,0.4148511169990534,2995.765395109609,0.1351955139909175,0.13757019368053636,39.06284420138207,0.004273775898033286
51,0.4879500364742666,5.830314048553637,1.5735915849388864,8.788520651286838,2.911389784311004,1.2535663410560174,0.6437631074300328,0.9511897312113419,0.48795003647426666,2.5727509827124,7.752564552640444,0.0,16622.357518600977,31.28449334429957,0.5345224838248488,0.0,1522.9278193194652,0.08584900011635661,0.09348573174371601,40.2817458362848,0.0056282966267418725
52,0.32338083338177726,3.6152341068122857,1.5801050680710411,8.403236226893023,3.0557189498796506,0.5745131499601416,0.407059632477941,0.8574929257125442,0.42779263194649864,2.173067468400883,9.344157186681512,0.3834824944236852,13437.935254297545,30.02742319598619,2.27231131071657,0.23570226039551584,2560.0163200307,0.19914002543800657,0.12858874065086962,43.95853661322759,0.003013598576080975
53,0.4276984052182938,4.552401647601139,1.289457180345682,6.4191873270569255,3.6305398626152736,0.6070573557084918,0.48406431241612574,0.8505855150950519,0.38055640786678435,2.1066138152796334,8.0264674661654,0.3889175425227715,19564.374954698236,24.102839598564035,2.2821028853598744,0.349699182269197,2573.200166818797,0.15763232083446818,0.1116802466819677,31.907797884101818,0.004151157894811228
54,0.4386007728541151,4.53140850516883,1.2771029857962626,6.341715357250838,3.606312925655013,0.5916234558275645,0.49006153684072523,0.8509197227472056,0.3831100674726864,2.087520757852178,8.078478674194223,0.40155283803659664,14101.781260497173,23.53514757901308,2.3386768482521947,0.3589171028081932,2420.311692175057,0.1607018509143222,0.11417932881326315,31.353381140547086,0.004308334409626001
55,0.4376448233223067,4.59052743004589,1.2929079694110772,6.446119570353916,3.6517948287093036,0.6090583671922385,0.4933893067870927,0.8396755112290427,0.3990507758595729,2.1745165777973123,8.095104979226479,0.3888693050218514,23577.297687475948,24.244024990546702,2.0142024531517997,0.3510671849072256,2534.3440759006317,0.16984553670494287,0.10979541479348007,30.601116601596484,0.004286263669247758
56,0.43026871167609076,4.533149279241583,1.2840246285733077,6.379714862014692,3.601036774028659,0.5954272445344885,0.4643749027150797,0.8548846210435953,0.41245298169800554,2.1774160134619036,8.464696640188386,0.3833101281576063,12287.350490898598,23.968027684079118,1.9158684786305236,0.3420434110419637,2511.51220568753,0.17143311408135475,0.11372026369669358,30.4785462281679,0.004234175447688025
57,0.4262518051123111,4.4820405176649025,1.2738691909309539,6.3119355248376845,3.5798044901601944,0.6250956385968914,0.47471648035912456,0.8474443202062423,0.4124699407593113,2.1305129370736333,8.26672862963503,0.3939309651296295,15968.255386960864,23.18136703191518,2.06504625267659,0.3182141900891901,2353.862293441426,0.16674002365847448,0.11263846525468675,28.635079622850093,0.004142755889226922
58,0.40733100161833896,4.597493506813873,1.2339298355525825,6.084312714675707,3.5459187997528216,0.6693681918018848,0.5229831927808831,0.802662631077215,0.4176948168977754,2.2150561403769764,8.605316356599161,0.3876565233182265,18633.757686270616,23.552211082953697,1.7096668839550373,0.3042391933227171,2470.5702818626273,0.1808559223819121,0.11274348600093312,28.18856092780726,0.004161622130214775
59,0.4300659998544741,4.457391428880183,1.2565305829691424,6.23420765394231,3.5590692891075966,0.6309481317079482,0.4846806637864003,0.839254984091215,0.37743397728314004,2.2290725950031276,8.442406209076989,0.3545352647811963,17188.002002817564,24.292634001291187,2.0063792658870754,0.29619629451345203,2441.5266212517668,0.16465383870086603,0.11426459913973395,31.032793769797543,0.0041771783738905445
60,0.4162282383663253,4.553127514120089,1.292218054700688,6.419666673449545,3.629618379046135,0.6396569052152437,0.5147685317279334,0.8321785779526878,0.3873126248090669,2.3167397594684567,8.072337306143059,0.3676582224330793,25079.358388346438,24.075738008379705,2.159534836095671,0.3404929844579027,2670.5126903075247,0.17056831962356137,0.1085859927565671,30.975920912054733,0.004091201289917382
